amfi_code,cagr_pct
100016,2.541247901047594
100025,4.294835392228946
100033,28.899383639194642
101206,22.604787284801418
101207,7.643258410637976
101208,6.268273663284529
102885,17.523902033263884
102886,1.1294595778247984
102887,16.19032513637435
118632,23.09381587265962
118633,15.646763057250347
118634,15.741939944838034
118635,15.342786568777411
118636,5.121284370964796
119092,6.132601469068821
119093,7.60363867836038
119094,27.075969436673986
119095,1.4665053142173479
119120,5.672188795478972
119551,24.772561617939658
119552,20.67704837427602
119598,31.095664237373622
119599,1.980032242102303
120503,18.053766771896342
120504,22.372037579730364
120505,31.481115319403674
120506,16.424007349244583
120507,6.968969623013832
120841,13.016300746880095
120842,6.4534560715860945
120843,29.64834751553347
120844,6.65902917581922
125497,18.27650594875758
125498,10.874958686292713
148567,29.711989696020822
148568,21.627249243585347
148569,30.643215145962287
149322,12.882957123240345
149323,28.38164635295859
149324,30.965765802578083
