amfi_code,alpha,beta
100016,0.03622082583927385,-0.025909405765861097
100025,0.043189313078713834,-0.016175640851260303
100033,0.2723430403957973,-0.011199710059456157
101206,0.2139447485061358,0.03381398454659162
101207,0.10820454812152297,-0.059855845864600625
101208,0.06084211292226629,0.0013273169546884347
102885,0.16992711557794749,-0.0018841874054637215
102886,0.028949366251249286,-0.06147606747188307
102887,0.16179316452470288,0.04011620562000179
118632,0.21728068775563278,0.036434217731472866
118633,0.15503795076034138,0.013157652619096497
118634,0.1780020912356628,0.009128170084160607
118635,0.15160602363545675,-0.013806609371555974
118636,0.05096267106480351,-0.008492388448091661
119092,0.0697017081135713,-0.019608739866468196
119093,0.08329931222337687,-0.008427720099019353
119094,0.25997054053321056,-0.05986815058386658
119095,0.0456801280646923,0.0132917234707355
119120,0.055762723198290544,0.011990672594122525
119551,0.23219648016717326,-0.05604508562674627
119552,0.1982932218749148,-0.019853025049675753
119598,0.3011144193310002,0.0742664848380288
119599,0.050572431452751046,0.007680982959652939
120503,0.17587937785242744,-0.004111147836045636
120504,0.2120943009940057,0.017025361766949264
120505,0.29301371282563315,-0.017391171743071688
120506,0.16283731486753183,0.047708015202565096
120507,0.06747180157927476,-0.0011254611770458527
120841,0.13068278268538389,0.04167578236653616
120842,0.0785865149291694,0.000647555554442608
120843,0.2727835993505962,-0.008737359353900988
120844,0.06454601487990588,-7.563158272733974e-05
125497,0.1789129568352085,-0.0054593165590488425
125498,0.12055386350487392,-0.018512868789591505
148567,0.2711501636821103,-0.02813331223165745
148568,0.2079171509667248,5.11619674096076e-05
148569,0.28347336470728673,-0.010201365088271777
149322,0.13129906992674878,0.014848756863667925
149323,0.26583594480787764,0.0034785300797906724
149324,0.2981786893056835,0.13260808824054154
